Pathogen	Ep1	Ep2	Ep3	Ep4	Ep5	Total
Y	3.36751	1.196676667	1.99751	2.00001	1.768343333	10.33005
Y	3.20251	1.283343333	1.96501	1.976676667	1.678343333	10.10588333
Y	2.24251	1.096676667	1.60001	1.60001	1.496676667	8.035883333
Y	1.76751	1.093343333	1.89251	1.89001	1.588343333	8.231716667
Y	24.36751	25.00001	25.00001	25.00001	25.00001	124.36755
Y	23.16251	25.00001	25.00001	25.00001	25.00001	123.16255
Y	2.80751	20.46334333	1.89751	2.096676667	1.39001	28.65505
Y	1.78001	22.58334333	1.89501	2.29001	1.29501	29.84338333
Y	23.55251	25.00001	25.00001	25.00001	25.00001	123.55255
Y	22.73501	25.00001	25.00001	25.00001	25.00001	122.73505
Y	24.32001	25.00001	23.84751	25.00001	24.21501	122.38255
Y	23.57751	25.00001	23.77001	25.00001	24.22667667	121.5742167
N	0.82251	0.20001	0.36501	0.67001	0.37501	2.43255
N	0.18501	0.10001	0.09251	0.096676667	1.00E-05	0.474216667
Y	24.35501	25.00001	25.00001	25.00001	25.00001	124.35505
Y	23.16751	25.00001	25.00001	25.00001	25.00001	123.16755
Y	6.20001	22.54334333	2.20001	2.896676667	2.308343333	36.14838333
Y	4.96751	22.55001	2.69751	3.456676667	2.133343333	35.80505
N	0.19001	0.29001	0.39501	0.393343333	0.396676667	1.66505
N	0.18001	0.50001	0.30001	0.30001	0.298343333	1.578383333
N	0.66001	1.00E-05	0.49751	0.50001	0.498343333	2.155883333
N	0.45251	0.486676667	0.39751	0.396676667	0.196676667	1.93005
Y	4.08001	0.70001	1.04501	1.373343333	0.95501	8.153383333
Y	2.85251	0.99001	1.31501	1.666676667	0.95501	7.779216667
N	2.43251	0.60001	1.70751	1.896676667	1.351676667	7.988383333
N	1.84001	0.596676667	1.31501	1.486676667	0.673343333	5.911716667
