Gender	Class	HSClass	TxtSent	TxtRec	Fbtime	Pinterest	Snapchat	Introvert
M	STAT2023	1	1	1	30	N	Y	8
M	STAT2023	15	10	15	20	N	Y	8
M	STAT2023	65	150	150	80	N	Y	1
F	STAT2023	123	18	28	45	N	Y	4
F	STAT2023	130	30	30	20	N	Y	4
F	STAT2023	140	100	75	60	Y	Y	6
M	STAT2023	142	20	20	5	N	Y	5
F	STAT2023	200	100	100	20	Y	Y	6
F	STAT2023	200	150	150	20	Y	Y	3
F	STAT2023	220	75	75	20	Y	Y	5
F	STAT2023	220	75	75	60	Y	Y	5
M	STAT2023	258	50	50	5	N	Y	3.5
M	STAT2023	326	25	30	5	N	N	8
F	STAT2023	420	100	100	60	Y	Y	5
M	STAT2023	475	30	30	20	N	Y	5
F	STAT2023	728	5	5	0	N	N	8
F	STAT2023	760	20	40	10	Y	Y	3
F	STAT2023	776	200	200	60	Y	Y	3
F	STAT2023	800	50	50	30	N	Y	8
F	STAT2023	850	10	10	120	Y	Y	3
M	STAT2023	865	100	100	30	N	Y	1
F	STAT2023	1127	100	100	25	Y	Y	4
F	STAT5063	625	30	30	120	Y	Y	7
F	STAT5063	5	10	10	0	N	N	5
F	STAT5063	250	30	30	50	Y	N	7
F	STAT5063	40	10	20	5	N	Y	5
M	STAT5063	25	9	3	10	Y	Y	5
M	STAT5063	417	100	200	30	N	Y	6
F	STAT5063	50	11	15	80	N	N	3
F	STAT5063	50	2	3	10	N	N	4
M	STAT5063	330	10	10	60	N	N	3
F	STAT5063	160	5	5	15	N	N	2
M	STAT5063	206	10	15	30	Y	N	6
F	STAT5063	50	5	5	5	N	N	3
F	STAT5063	200	25	25	40	Y	N	7
