Gender	Class	HSClass	TxtSent	TxtRec	Fbtime	Pinterest	Snapchat	Introvert	Year	Mode	Instagram	TikTok			
M	STAT2023	1	1	1	30	N	Y	8	2016	F	Y	NA			
M	STAT2023	15	10	15	20	N	Y	8	2016	F	N	NA			
M	STAT2023	65	150	150	80	N	Y	1	2016	F	N	NA			
F	STAT2023	123	18	28	45	N	Y	4	2016	F	N	NA			
F	STAT2023	130	30	30	20	N	Y	4	2016	F	Y	NA			
F	STAT2023	140	100	75	60	Y	Y	6	2016	F	N	NA			
M	STAT2023	142	20	20	5	N	Y	5	2016	F	Y	NA			
F	STAT2023	200	100	100	20	Y	Y	6	2016	F	N	NA			
F	STAT2023	200	150	150	20	Y	Y	3	2016	F	N	NA			
F	STAT2023	220	75	75	20	Y	Y	5	2016	F	Y	NA			
F	STAT2023	220	75	75	60	Y	Y	5	2016	F	N	NA			
M	STAT2023	258	50	50	5	N	Y	3.5	2016	F	Y	NA			
M	STAT2023	326	25	30	5	N	N	8	2016	F	N	NA			
F	STAT2023	420	100	100	60	Y	Y	5	2016	F	Y	NA			
M	STAT2023	475	30	30	20	N	Y	5	2016	F	N	NA			
F	STAT2023	728	5	5	0	N	N	8	2016	F	N	NA			
F	STAT2023	760	20	40	10	Y	Y	3	2016	F	N	NA			
F	STAT2023	776	200	200	60	Y	Y	3	2016	F	Y	NA			
F	STAT2023	800	50	50	30	N	Y	8	2016	F	Y	NA			
F	STAT2023	850	10	10	120	Y	Y	3	2016	F	Y	NA			
M	STAT2023	865	100	100	30	N	Y	1	2016	F	Y	NA			
F	STAT2023	1127	100	100	25	Y	Y	4	2016	F	Y	NA			
F	STAT5063	625	30	30	120	Y	Y	7	2016	F	Y	NA			
F	STAT5063	5	10	10	0	N	N	5	2016	F	N	NA			
F	STAT5063	250	30	30	50	Y	N	7	2016	F	N	NA			
F	STAT5063	40	10	20	5	N	Y	5	2016	F	Y	NA			
M	STAT5063	25	9	3	10	Y	Y	5	2016	F	Y	NA			
M	STAT5063	417	100	200	30	N	Y	6	2016	F	Y	NA			
F	STAT5063	50	11	15	80	N	N	3	2016	F	N	NA			
F	STAT5063	50	2	3	10	N	N	4	2016	F	Y	NA			
M	STAT5063	330	10	10	60	N	N	3	2016	F	Y	NA			
F	STAT5063	160	5	5	15	N	N	2	2016	F	Y	NA			
M	STAT5063	206	10	15	30	Y	N	6	2016	F	N	NA			
F	STAT5063	50	5	5	5	N	N	3	2016	F	Y	NA			
F	STAT5063	200	25	25	40	Y	N	7	2016	F	Y	NA			
M	STAT5063	36	10	20	5	Y	N	4	2019	F	Y	NA			
M	STAT5063	128	15	10	0	N	N	7	2019	F	N	NA			
M	STAT5063	60	10	10	0	N	N	1	2019	F	N	NA			
F	STAT5063	45	0	0	0	N	N	5	2019	F	N	NA			
M	STAT5063	150	5	5	100	N	N	6	2019	F	Y	NA			
M	STAT5063	110	10	40	1	N	N	2	2019	F	N	NA			
M	STAT5063	56	15	20	0	Y	Y	5	2019	F	Y	NA			
M	STAT5063	99	5	5	60	N	N	1	2019	F	Y	NA			
F	STAT5063	30	50	70	20	Y	Y	1	2019	F	Y	NA			
M	STAT5063	350	150	650	15	N	Y	3	2019	F	Y	NA			
M	STAT5063	350	15	15	1	N	Y	8	2019	F	Y	NA			
F	STAT5063	200	20	30	30	N	Y	4	2019	F	Y	NA			
M	STAT4463	500	90	90	0	N	Y	8	2022	F	Y	NA			
M	STAT4463	1	10	10	60	N	Y	6	2022	F	Y	NA			
M	STAT4463	350	10	10	10	N	Y	5	2022	F	Y	NA			
F	STAT4463	96	20	30	5	Y	Y	5	2022	F	N	NA			
M	STAT5063	35	10	15	25	N	Y	5	2022	F	Y	NA			
F	STAT5063	614	30	35	0	Y	Y	8	2022	F	Y	NA			
F	STAT5063	100	5	5	0	Y	Y	9	2022	F	Y	NA			
M	STAT5063	50	25	25	75	N	N	7	2022	F	Y	NA			
M	STAT5063	50	20	25	0	Y	Y	3	2022	F	Y	NA			
M	STAT5063	1400	20	20	0	N	N	4	2022	F	Y	NA			
M	STAT5063	440	32	64	30	N	N	10	2022	O	Y	NA			
M	STAT5063	102	65	90	20	Y	N	2	2022	O	Y	NA			
M	STAT4193	575	50	75	0	N	Y	7	2022	F	N	NA			
F	STAT4193	600	50	75	5	Y	Y	4	2022	F	Y	NA			
M	STAT4193	700	10	10	30	N	Y	7	2022	F	Y	NA			
F	STAT5191	126	20	18	50	Y	Y	7	2022	F	Y	NA			
M	STAT5191	70	20	23	30	Y	Y	7	2022	F	Y	NA			
M	STAT4191	74	30	50	30	N	Y	3	2022	F	N	NA			
M	STAT4191	29	100	200	20	N	Y	1	2022	F	N	NA			
F	STAT4193	52	50	50	100	N	N	3	2022	F	N	NA			
M	STAT4193	53	20	30	60	N	Y	2	2022	F	Y	NA			
F	STAT4463	35	2	3	0	N	N	6	2023	F	Y	NA			
M	STAT4463	88	25	30	1	N	Y	3	2023	F	N	NA			
M	STAT5063	35	100	130	5	Y	Y	6	2023	F	Y	NA			
M	STAT5063	10	2	3	15	N	N	9	2023	F	N	NA			
F	STAT4463	130	40	40	15	N	Y	4	2023	F	N	NA			
F	STAT4463	650	5	5	0	N	Y	5	2023	F	Y	NA			
F	STAT5063	300	30	40	10	Y	Y	7	2023	F	Y	NA			
M	STAT5063	1	1	5	0	N	N	5	2023	F	N	NA			
F	STAT5063	50	2	2	80	N	Y	5	2023	F	Y	NA			
M	STAT5063	40	5	4	120	N	N	7	2023	F	N	NA			
M	STAT5063	150	15	25	10	N	Y	1	2023	F	Y	NA			
F	STAT5063	50	3	2	90	N	N	4	2023	F	Y	NA			
M	STAT5063	120	30	25	30	N	Y	5	2023	O	Y	NA			
M	STAT5063	137	12	15	50	N	N	6	2023	O	Y	NA			
M	STAT5063	237	7	15	120	N	Y	7	2023	O	Y	NA			
F	STAT5063	300	10	10	30	N	N	6	2023	O	Y	NA			
M	STAT5063	350	30	30	0	N	N	8	2023	O	N	NA			
M	STAT5063	250	8	14	5	N	Y	7	2023	O	Y	NA			
F	STAT5063	320	15	20	60	Y	N	8	2023	O	Y	NA			
M	STAT5063	150	10	10	5	N	Y	8	2023	O	N	NA			
M	STAT5063	50	15	15	5	N	Y	7	2023	O	Y	NA			
M	STAT5063	500	5	4	25	N	Y	6	2023	O	Y	NA			
F	STAT4193	223	15	50	0	Y	NA	4	2023	F	N	NA			
M	STAT5193	100	5	9	30	N	NA	4.5	2023	F	Y	NA			
F	STAT4191	1200	50	60	10	Y	NA	7	2023	F	Y	NA			
F	STAT4193	43	30	40	60	N	NA	5	2023	F	Y	NA			
M	STAT4193	35	10	10	20	N	NA	7	2023	F	Y	NA			
M	STAT4193	30	20	20	60	Y	NA	7	2023	F	Y	NA			
F	STAT4193	63	100	100	0	Y	NA	6	2023	F	Y	NA			
F	STAT5193	120	20	18	25	N	NA	3	2023	F	N	NA			
F	STAT4193	387	45	40	0	Y	NA	4	2023	F	Y	NA			
M	STAT4193	500	25	30	0	N	NA	5	2023	F	N	NA			
F	STAT4193	76	100	70	120	Y	NA	6	2023	F	Y	NA			
M	STAT5193	63	50	45	120	N	NA	4	2023	F	Y	NA			
M	STAT5191	40	70	50	20	Y	NA	2	2023	F	Y	NA			
F	STAT5193	35	100	115	30	Y	NA	7	2023	F	Y	NA			
M	STAT5191	30	10	20	15	Y	NA	5	2023	F	Y	NA			
F	STAT5063	1000	1	6	0	N	N	10	2024	F	N	NA			
M	STAT5063	320	15	12	5	N	N	3	2024	F	Y	NA			
F	STAT4463	450	30	40	0	Y	Y	10	2024	F	N	NA			
M	STAT4463	40	50	50	0	N	N	5	2024	F	Y	NA			
M	STAT4463	500	25	30	0	N	Y	6	2024	F	Y	NA			
F	STAT4463	75	200	175	60	Y	N	6	2024	F	Y	NA			
M	STAT5063	110	8	10	60	N	N	6	2024	F	Y	NA			
M	STAT5063	60	100	120	0	N	N	8	2024	F	N	NA			
M	STAT5063	40	20	17	20	Y	N	7	2024	O	N	NA			
M	STAT5063	151	6	9	5	N	Y	9	2024	O	Y	NA			
F	STAT5063	60	1	1	60	N	N	7	2024	O	Y	NA			
F	STAT5063	50	100	150	5	N	N	3	2024	O	N	NA			
F	STAT5063	50	0	1	0	N	N	5	2025	F	Y	NA			
M	STAT5063	120	80	90	35	N	N	7	2025	F	Y	Y			
M	STAT5063	80	120	160	120	N	N	6	2025	F	Y	Y			
F	STAT5063	50	3	3	5	Y	Y	6	2025	F	Y	Y			
F	STAT5063	80	500	600	0	N	N	2	2025	F	Y	Y			
F	STAT5063	40	10	10	30	N	Y	6	2025	F	Y	N			
M	STAT5063	400	200	170	90	N	N	5	2025	F	Y	N			
M	STAT5063	NA	0	15	N	Y	8	F	2025	F	Y	NA			
M	STAT5063	50	0	10	30	N	Y	6	2025	F	Y	N			
M	STAT5063	32	0	2	30	N	N	6	2025	F	Y	N			
F	STAT5063	29	6	6	0	N	Y	3	2025	F	Y	Y			
M	STAT5063	24	10	10	0	N	Y	8	2025	F	Y	N			
F	STAT5063	760	30	30	60	Y	Y	3	2025	O	NA	NA			
M	STAT5063	160	5	4	30	N	N	7	2025	O	NA	NA			
M	STAT5063	607	45	65	0	Y	N	3	2025	O	NA	NA			
M	STAT5063	47	1	10	180	Y	N	8	2025	O	NA	NA			
M	STAT5063	25	20	20	0	N	N	3	2025	O	NA	NA			
															
